model,trial_parameter,trial_value,variant,accuracy,precision,recall,f1,C,penalty,solver,class_weight
Logistic Regression,class_weight,None,class_weight=None,0.9366632337796087,0.9670750382848392,0.9404318689501117,0.9535673839184597,1.0,l2,liblinear,None
Logistic Regression,class_weight,balanced,class_weight=balanced,0.925849639546859,0.9885900570497147,0.9032017870439315,0.9439688715953307,1.0,l2,liblinear,balanced
