variant,split,accuracy,precision,recall,f1,kernel,C,gamma,class_weight
class_weight_none,validation,0.9541709577754892,0.9793577981651376,0.9538346984363366,0.9664277631082611,rbf,1.0,scale,
class_weight_balanced,validation,0.9464469618949537,0.9904988123515439,0.9314966492926284,0.9600920951650038,rbf,1.0,scale,balanced
