variant,split,accuracy,precision,recall,f1,kernel,C,gamma,class_weight
gamma_auto,validation,0.9464469618949537,0.9904988123515439,0.9314966492926284,0.9600920951650038,rbf,1.0,auto,balanced
gamma_scale,validation,0.9464469618949537,0.9904988123515439,0.9314966492926284,0.9600920951650038,rbf,1.0,scale,balanced
gamma_0.01,validation,0.9438722966014418,0.9896825396825397,0.9285182427401341,0.9581252401075682,rbf,1.0,0.01,balanced
gamma_0.1,validation,0.9165808444902163,0.9097848716169327,0.9761727475800447,0.9418103448275862,rbf,1.0,0.1,balanced
gamma_0.001,validation,0.8990731204943357,0.9931212381771282,0.8600148920327625,0.9217877094972067,rbf,1.0,0.001,balanced
gamma_0.0001,validation,0.8383110195674562,0.9840075258701787,0.7788533134772897,0.8694929343308395,rbf,1.0,0.0001,balanced
gamma_1,validation,0.6915550978372812,0.6915550978372812,1.0,0.8176560121765601,rbf,1.0,1.0,balanced
