variant,split,accuracy,precision,recall,f1,kernel,C,gamma,class_weight
kernel_rbf,validation,0.9464469618949537,0.9904988123515439,0.9314966492926284,0.9600920951650038,rbf,1.0,scale,balanced
kernel_linear,validation,0.9366632337796087,0.9911433172302737,0.9166046165301563,0.9524177949709864,linear,1.0,scale,balanced
kernel_poly,validation,0.9191555097837281,0.995819397993311,0.8868205510052122,0.9381646317447814,poly,1.0,scale,balanced
kernel_sigmoid,validation,0.7337796086508754,0.8641975308641975,0.7297096053611318,0.7912797739200645,sigmoid,1.0,scale,balanced
