variant,split,accuracy,precision,recall,f1,kernel,C,gamma,class_weight
C_100,validation,0.9660144181256437,0.982615268329554,0.9679821295606851,0.9752438109527382,rbf,100.0,scale,balanced
C_10,validation,0.9644696189495365,0.9855182926829268,0.9627699180938198,0.9740112994350283,rbf,10.0,scale,balanced
C_1,validation,0.9464469618949537,0.9904988123515439,0.9314966492926284,0.9600920951650038,rbf,1.0,scale,balanced
C_0.1,validation,0.9165808444902163,0.9884201819685691,0.8897989575577067,0.9365203761755486,rbf,0.1,scale,balanced
C_0.01,validation,0.8619979402677652,0.9645635263612792,0.8309754281459419,0.8928,rbf,0.01,scale,balanced
